CustomerID,Lookalikes
C0001,"[{'CustomerID': 'C0152', 'Score': 0.9537168145179749}, {'CustomerID': 'C0137', 'Score': 0.9435369968414307}, {'CustomerID': 'C0048', 'Score': 0.9287103414535522}]"
C0002,"[{'CustomerID': 'C0142', 'Score': 0.976291298866272}, {'CustomerID': 'C0159', 'Score': 0.953009843826294}, {'CustomerID': 'C0056', 'Score': 0.9425694942474365}]"
C0003,"[{'CustomerID': 'C0039', 'Score': 0.8851557374000549}, {'CustomerID': 'C0169', 'Score': 0.8619514107704163}, {'CustomerID': 'C0148', 'Score': 0.8458759188652039}]"
C0004,"[{'CustomerID': 'C0113', 'Score': 0.9830882549285889}, {'CustomerID': 'C0143', 'Score': 0.9634246826171875}, {'CustomerID': 'C0028', 'Score': 0.9614232778549194}]"
C0005,"[{'CustomerID': 'C0159', 'Score': 0.9517273902893066}, {'CustomerID': 'C0146', 'Score': 0.9347828030586243}, {'CustomerID': 'C0092', 'Score': 0.9227533340454102}]"
C0006,"[{'CustomerID': 'C0168', 'Score': 0.9777352213859558}, {'CustomerID': 'C0171', 'Score': 0.944963276386261}, {'CustomerID': 'C0096', 'Score': 0.9102619886398315}]"
C0007,"[{'CustomerID': 'C0140', 'Score': 0.9019867181777954}, {'CustomerID': 'C0080', 'Score': 0.8644705414772034}, {'CustomerID': 'C0074', 'Score': 0.8606007695198059}]"
C0008,"[{'CustomerID': 'C0024', 'Score': 0.9128036499023438}, {'CustomerID': 'C0084', 'Score': 0.8981258869171143}, {'CustomerID': 'C0098', 'Score': 0.8926463723182678}]"
C0009,"[{'CustomerID': 'C0103', 'Score': 0.9190197587013245}, {'CustomerID': 'C0119', 'Score': 0.8738078474998474}, {'CustomerID': 'C0121', 'Score': 0.8665614128112793}]"
C0010,"[{'CustomerID': 'C0111', 'Score': 0.9771133661270142}, {'CustomerID': 'C0086', 'Score': 0.9447000622749329}, {'CustomerID': 'C0081', 'Score': 0.926838755607605}]"
C0011,"[{'CustomerID': 'C0048', 'Score': 0.9796177744865417}, {'CustomerID': 'C0056', 'Score': 0.9677330255508423}, {'CustomerID': 'C0092', 'Score': 0.9448456764221191}]"
C0012,"[{'CustomerID': 'C0013', 'Score': 0.958504319190979}, {'CustomerID': 'C0194', 'Score': 0.9566320180892944}, {'CustomerID': 'C0187', 'Score': 0.9477026462554932}]"
C0013,"[{'CustomerID': 'C0187', 'Score': 0.9744313359260559}, {'CustomerID': 'C0099', 'Score': 0.9722419381141663}, {'CustomerID': 'C0155', 'Score': 0.9601913094520569}]"
C0014,"[{'CustomerID': 'C0058', 'Score': 0.9466630816459656}, {'CustomerID': 'C0097', 'Score': 0.9176942706108093}, {'CustomerID': 'C0128', 'Score': 0.9055187702178955}]"
C0015,"[{'CustomerID': 'C0063', 'Score': 0.948932409286499}, {'CustomerID': 'C0042', 'Score': 0.9231670498847961}, {'CustomerID': 'C0167', 'Score': 0.8929355144500732}]"
C0016,"[{'CustomerID': 'C0072', 'Score': 0.9000888466835022}, {'CustomerID': 'C0042', 'Score': 0.8746638298034668}, {'CustomerID': 'C0055', 'Score': 0.8679037690162659}]"
C0017,"[{'CustomerID': 'C0124', 'Score': 0.9563732147216797}, {'CustomerID': 'C0075', 'Score': 0.9388256669044495}, {'CustomerID': 'C0041', 'Score': 0.9131953716278076}]"
C0018,"[{'CustomerID': 'C0181', 'Score': 0.8661173582077026}, {'CustomerID': 'C0114', 'Score': 0.8545805215835571}, {'CustomerID': 'C0045', 'Score': 0.8158459067344666}]"
C0019,"[{'CustomerID': 'C0172', 'Score': 0.9511260986328125}, {'CustomerID': 'C0127', 'Score': 0.934581458568573}, {'CustomerID': 'C0179', 'Score': 0.904222309589386}]"
C0020,"[{'CustomerID': 'C0080', 'Score': 0.9523906111717224}, {'CustomerID': 'C0110', 'Score': 0.9008358716964722}, {'CustomerID': 'C0184', 'Score': 0.8771499991416931}]"
